#id,x,y,z,u,v,w
55,-50.5000000000,0.00000000000,0.00000000000,0.,2.5,0.
56,-50.2500000000,0.00000000000,0.00000000000,0.,2.25,0.
57,-50.0000000000,0.00000000000,0.00000000000,0.,2.0,0.
58,-49.7500000000,0.00000000000,0.00000000000,0.,1.75,0.
59,-49.5000000000,0.00000000000,0.00000000000,0.,1.5,0.
60,-49.2500000000,0.00000000000,0.00000000000,0.,1.25,0.
61,-49.0000000000,0.00000000000,0.00000000000,0.,1.0,0.
62,-48.7500000000,0.00000000000,0.00000000000,0.,0.75,0.
63,-48.5000000000,0.00000000000,0.00000000000,0.,0.5,0.
64,-48.2500000000,0.00000000000,0.00000000000,0.,0.25,0.
65,-48.0000000000,32.0000000000,0.00000000000,0.,0.0,0.
66,-48.0000000000,0.250000000000,0.00000000000,0.,0.0,0.
67,-48.0000000000,0.500000000000,0.00000000000,0.,0.0,0.
68,-48.0000000000,0.750000000000,0.00000000000,0.,0.0,0.
69,-48.0000000000,1.00000000000,0.00000000000,0.,0.0,0.
70,-48.0000000000,1.25000000000,0.00000000000,0.,0.0,0.
71,-48.0000000000,1.50000000000,0.00000000000,0.,0.0,0.
72,-48.0000000000,1.75000000000,0.00000000000,0.,0.0,0.
73,-48.0000000000,2.00000000000,0.00000000000,0.,0.0,0.
74,-48.0000000000,2.25000000000,0.00000000000,0.,0.0,0.
75,-48.0000000000,2.50000000000,0.00000000000,0.,0.0,0.
76,-48.0000000000,2.75000000000,0.00000000000,0.,0.0,0.
77,-48.0000000000,3.00000000000,0.00000000000,0.,0.0,0.
78,-48.0000000000,3.25000000000,0.00000000000,0.,0.0,0.
79,-48.0000000000,3.50000000000,0.00000000000,0.,0.0,0.
80,-48.0000000000,3.75000000000,0.00000000000,0.,0.0,0.
81,-48.0000000000,4.00000000000,0.00000000000,0.,0.0,0.
82,-48.0000000000,4.25000000000,0.00000000000,0.,0.0,0.
83,-48.0000000000,4.50000000000,0.00000000000,0.,0.0,0.
84,-48.0000000000,4.75000000000,0.00000000000,0.,0.0,0.
85,-48.0000000000,5.00000000000,0.00000000000,0.,0.0,0.
86,-48.0000000000,5.25000000000,0.00000000000,0.,0.0,0.
87,-48.0000000000,5.50000000000,0.00000000000,0.,0.0,0.
88,-48.0000000000,5.75000000000,0.00000000000,0.,0.0,0.
89,-48.0000000000,6.00000000000,0.00000000000,0.,0.0,0.
90,-48.0000000000,6.25000000000,0.00000000000,0.,0.0,0.
91,-48.0000000000,6.50000000000,0.00000000000,0.,0.0,0.
92,-48.0000000000,6.75000000000,0.00000000000,0.,0.0,0.
93,-48.0000000000,7.00000000000,0.00000000000,0.,0.0,0.
94,-48.0000000000,7.25000000000,0.00000000000,0.,0.0,0.
95,-48.0000000000,7.50000000000,0.00000000000,0.,0.0,0.
96,-48.0000000000,7.75000000000,0.00000000000,0.,0.0,0.
97,-48.0000000000,8.00000000000,0.00000000000,0.,0.0,0.
98,-48.0000000000,8.25000000000,0.00000000000,0.,0.0,0.
99,-48.0000000000,8.50000000000,0.00000000000,0.,0.0,0.
100,-48.0000000000,8.75000000000,0.00000000000,0.,0.0,0.
101,-48.0000000000,9.00000000000,0.00000000000,0.,0.0,0.
102,-48.0000000000,9.25000000000,0.00000000000,0.,0.0,0.
