#id,x,y,z,u,v,w
33,-61.0,10.45,0,-0.0006484521302757143,0.,0.
34,-61.0,10.7,0,-0.0007370899496667047,0.,0.
35,-61.0,10.95,0,-0.0008324124401082168,0.,0.
36,-61.0,11.2,0,-0.0009339683053850509,0.,0.
37,-61.0,11.45,0,-0.0010411210303860362,0.,0.
38,-61.0,11.7,0,-0.0011530437977535005,0.,0.
39,-61.0,11.95,0,-0.0012687203124196794,0.,0.
40,-61.0,12.2,0,-0.0013869521757678737,0.,0.
41,-61.0,12.45,0,-0.001506373210329055,0.,0.
42,-61.0,12.7,0,-0.001625470847570493,0.,0.
43,-61.0,12.95,0,-0.00174261436809373,0.,0.
44,-61.0,13.2,0,-0.0018560894416913257,0.,0.
45,-61.0,13.45,0,-0.0019641380732304107,0.,0.
46,-61.0,13.7,0,-0.002065002739853777,0.,0.
47,-61.0,13.95,0,-0.0021569732263513187,0.,0.
48,-61.0,14.2,0,-0.0022384344482988443,0.,0.
49,-61.0,14.45,0,-0.0023079134134225245,0.,0.
50,-61.0,14.7,0,-0.0023641234231618095,0.,0.
51,-61.0,14.95,0,-0.0024060036657713338,0.,0.
52,-61.0,15.2,0,-0.0024327525006111917,0.,0.
53,-61.0,15.45,0,-0.0024438529751730003,0.,0.
54,-61.0,15.7,0,-0.0024390894402486975,0.,0.
55,-61.0,15.95,0,-0.0024185545172268584,0.,0.
56,-61.0,16.2,0,-0.0023826461030522724,0.,0.
57,-61.0,16.45,0,-0.0023320545481444964,0.,0.
58,-61.0,16.7,0,-0.002267740584490062,0.,0.
59,-61.0,16.95,0,-0.0021909049897051,0.,0.
60,-61.0,17.2,0,-0.0021029513249626835,0.,0.
61,-61.0,17.45,0,-0.002005443361091591,0.,0.
62,-61.0,17.7,0,-0.001900058993900486,0.,0.
63,-61.0,17.95,0,-0.0017885425389535744,0.,0.
64,-61.0,18.2,0,-0.0016726572861450219,0.,0.
65,-61.0,18.45,0,-0.00155414009031442,0.,0.
66,-61.0,18.7,0,-0.0014346595863345439,0.,0.
67,-61.0,18.95,0,-0.0013157793607964795,0.,0.
68,-61.0,19.2,0,-0.0011989271062132925,0.,0.
69,-61.0,19.45,0,-0.0010853704480644816,0.,0.
70,-61.0,19.7,0,-0.0009761997908898356,0.,0.
71,-61.0,19.95,0,-0.0008723181968226574,0.,0.
72,-61.0,20.2,0,-0.0007744380059094308,0.,0.
73,-61.0,20.45,0,-0.0006830836464648216,0.,0.
74,-61.0,20.7,0,-0.0005985998757620999,0.,0.
75,-61.0,20.95,0,-0.0005211645424994258,0.,0.
76,-61.0,21.2,0,-0.0004508048744282415,0.,0.
77,-61.0,21.45,0,-0.00038741626511847965,0.,0.
78,-61.0,21.7,0,-0.00033078255761250506,0.,0.
79,-61.0,21.95,0,-0.000280596891697685,0.,0.
80,-61.0,22.2,0,-0.00023648228603120826,0.,0.
81,-61.0,22.45,0,-0.000198011255877519,0.,0.
82,-61.0,22.7,0,-0.00016472391124153546,0.,0.
83,-61.0,22.95,0,-0.00013614412884132207,0.,0.
84,-61.0,23.2,0,-0.00011179353601688811,0.,0.
85,-60.75,2.2,0,-2.6935554798940644e-07,0.,0.
86,-60.75,2.45,0,-3.7946948383261303e-07,0.,0.
87,-60.75,2.7,0,-5.311330078870152e-07,0.,0.
88,-60.75,2.95,0,-7.385930753065477e-07,0.,0.
89,-60.75,3.2,0,-1.0204287247060795e-06,0.,0.
90,-60.75,3.45,0,-1.4006693431996108e-06,0.,0.
91,-60.75,3.7,0,-1.91013505682513e-06,0.,0.
92,-60.75,3.95,0,-2.588022403238767e-06,0.,0.
93,-60.75,4.2,0,-3.4837540919385096e-06,0.,0.
94,-60.75,4.45,0,-4.659104552510401e-06,0.,0.
95,-60.75,4.7,0,-6.190602588633271e-06,0.,0.
96,-60.75,4.95,0,-8.172198327208691e-06,0.,0.
97,-60.75,5.2,0,-1.0718163426654501e-05,0.,0.
98,-60.75,5.45,0,-1.3966171020449106e-05,0.,0.
99,-60.75,5.7,0,-1.8080475218073554e-05,0.,0.
100,-60.75,5.95,0,-2.3255079603357316e-05,0.,0.
101,-60.75,6.2,0,-2.9716750913062774e-05,0.,0.
102,-60.75,6.45,0,-3.772769927588873e-05,0.,0.
103,-60.75,6.7,0,-4.758771188759138e-05,0.,0.
104,-60.75,6.95,0,-5.963549515321647e-05,0.,0.
105,-60.75,7.2,0,-7.424895398152347e-05,0.,0.
106,-60.75,7.45,0,-9.184411929219846e-05,0.,0.
107,-60.75,7.7,0,-0.00011287242934652486,0.,0.
108,-60.75,7.95,0,-0.00013781608070631852,0.,0.
109,-60.75,8.2,0,-0.00016718119367890635,0.,0.
110,-60.75,8.45,0,-0.00020148858766053093,0.,0.
111,-60.75,8.7,0,-0.0002412620355723916,0.,0.
112,-60.75,8.95,0,-0.00028701396405315206,0.,0.
113,-60.75,9.2,0,-0.0003392286861059331,0.,0.
114,-60.75,9.45,0,-0.00039834339253571525,0.,0.
115,-60.75,9.7,0,-0.00046472728280466544,0.,0.
116,-60.75,9.95,0,-0.0005386593779247729,0.,0.
117,-60.75,10.2,0,-0.000620305718894699,0.,0.
118,-60.75,10.45,0,-0.0007096968036509606,0.,0.
119,-60.75,10.7,0,-0.0008067062422314617,0.,0.
120,-60.75,10.95,0,-0.0009110317022366998,0.,0.
121,-60.75,11.2,0,-0.0010221792636585917,0.,0.
122,-60.75,11.45,0,-0.0011394522941340346,0.,0.
123,-60.75,11.7,0,-0.0012619458854846962,0.,0.
124,-60.75,11.95,0,-0.0013885477561288173,0.,0.
125,-60.75,12.2,0,-0.0015179463217133479,0.,0.
126,-60.75,12.45,0,-0.0016486463727421346,0.,0.
127,-60.75,12.7,0,-0.0017789924823874092,0.,0.
128,-60.75,12.95,0,-0.0019071999139034619,0.,0.
129,-60.75,13.2,0,-0.002031392422904904,0.,0.
130,-60.75,13.45,0,-0.0021496459760384943,0.,0.
131,-60.75,13.7,0,-0.0022600370568319006,0.,0.
132,-60.75,13.95,0,-0.002360693924548222,0.,0.
133,-60.75,14.2,0,-0.002449848954100024,0.,0.
134,-60.75,14.45,0,-0.0025258900327965912,0.,0.
135,-60.75,14.7,0,-0.00258740893663333,0.,0.
136,-60.75,14.95,0,-0.0026332446628626023,0.,0.
137,-60.75,15.2,0,-0.002662519857901538,0.,0.
138,-60.75,15.45,0,-0.002674668744377051,0.,0.
139,-60.75,15.7,0,-0.002669455305555561,0.,0.
140,-60.75,15.95,0,-0.002646980910682926,0.,0.
141,-60.75,16.2,0,-0.002607681037069984,0.,0.
142,-60.75,16.45,0,-0.0025523112369977494,0.,0.
