#id,x,y,z,u,v,z
167,-22.00,-17.50,0.00,0.000,0.000,0.00
168,-22.00,-16.50,0.00,0.000,0.000,0.00
169,-22.00,-15.50,0.00,0.000,0.000,0.00
170,-22.00,-14.50,0.00,0.000,0.000,0.00
171,-22.00,-13.50,0.00,0.000,0.000,0.00
172,-22.00,-12.50,0.00,0.000,0.000,0.00
173,-22.00,-11.50,0.00,0.000,0.000,0.00
174,-22.00,-10.50,0.00,0.000,0.000,0.00
175,-22.00,-9.50,0.00,0.000,0.000,0.00
176,-22.00,-8.50,0.00,0.000,0.000,0.00
177,-22.00,-7.50,0.00,0.000,0.000,0.00
178,-22.00,-6.50,0.00,0.000,0.000,0.00
179,-22.00,-5.50,0.00,0.000,0.000,0.00
180,-22.00,-4.50,0.00,0.000,0.000,0.00
181,-22.00,-3.50,0.00,0.000,0.000,0.00
182,-22.00,-2.50,0.00,0.000,0.000,0.00
183,-22.00,-1.50,0.00,0.000,0.000,0.00
184,-22.00,-0.50,0.00,0.000,0.000,0.00
185,-22.00,0.50,0.00,0.000,0.000,0.00
186,-22.00,1.50,0.00,0.000,0.000,0.00
187,-22.00,2.50,0.00,0.000,0.000,0.00
188,-22.00,3.50,0.00,0.000,0.000,0.00
189,-22.00,4.50,0.00,0.000,0.000,0.00
190,-22.00,5.50,0.00,0.000,0.000,0.00
191,-22.00,6.50,0.00,0.000,0.000,0.00
192,-22.00,7.50,0.00,0.000,0.000,0.00
193,-22.00,8.50,0.00,0.000,0.000,0.00
194,-22.00,9.50,0.00,0.000,0.000,0.00
195,-22.00,10.50,0.00,0.000,0.000,0.00
196,-22.00,11.50,0.00,0.000,0.000,0.00
197,-22.00,12.50,0.00,0.000,0.000,0.00
198,-22.00,13.50,0.00,0.000,0.000,0.00
199,-22.00,14.50,0.00,0.000,0.000,0.00
200,-22.00,15.50,0.00,0.000,0.000,0.00
201,-22.00,16.50,0.00,0.000,0.000,0.00
202,-22.00,17.50,0.00,0.000,0.000,0.00
203,-22.00,18.50,0.00,0.000,0.000,0.00
204,-22.00,19.50,0.00,0.000,0.000,0.00
205,-22.00,20.50,0.00,0.000,0.000,0.00
206,-22.00,21.50,0.00,0.000,0.000,0.00
207,-22.00,22.50,0.00,0.000,0.000,0.00
208,-22.00,23.50,0.00,0.000,0.000,0.00
209,-22.00,24.50,0.00,0.000,0.000,0.00
210,-22.00,25.50,0.00,0.000,0.000,0.00
211,-22.00,26.50,0.00,0.000,0.000,0.00
