#id;x;y;vol
492;19.500;5.000;1.000
493;19.500;6.000;1.000
494;19.500;7.000;1.000
495;19.500;8.000;1.000
496;19.500;9.000;1.000
497;19.500;10.000;1.000
498;19.500;11.000;1.000
499;19.500;12.000;1.000
500;20.500;-12.000;1.000
501;20.500;-11.000;1.000
502;20.500;-10.000;1.000
503;20.500;-9.000;1.000
504;20.500;-8.000;1.000
505;20.500;-7.000;1.000
506;20.500;-6.000;1.000
507;20.500;-5.000;1.000
508;20.500;-4.000;1.000
509;20.500;-3.000;1.000
510;20.500;-2.000;1.000
511;20.500;-1.000;1.000
512;20.500;0.000;1.000
513;20.500;1.000;1.000
514;20.500;2.000;1.000
515;20.500;3.000;1.000
516;20.500;4.000;1.000
517;20.500;5.000;1.000
518;20.500;6.000;1.000
519;20.500;7.000;1.000
520;20.500;8.000;1.000
521;20.500;9.000;1.000
522;20.500;10.000;1.000
523;20.500;11.000;1.000
524;20.500;12.000;1.000
525;21.500;-12.000;1.000
526;21.500;-11.000;1.000
527;21.500;-10.000;1.000
528;21.500;-9.000;1.000
529;21.500;-8.000;1.000
530;21.500;-7.000;1.000
531;21.500;-6.000;1.000
532;21.500;-5.000;1.000
533;21.500;-4.000;1.000
534;21.500;-3.000;1.000
535;21.500;-2.000;1.000
536;21.500;-1.000;1.000
537;21.500;0.000;1.000
538;21.500;1.000;1.000
539;21.500;2.000;1.000
540;21.500;3.000;1.000
541;21.500;4.000;1.000
542;21.500;5.000;1.000
543;21.500;6.000;1.000
544;21.500;7.000;1.000
545;21.500;8.000;1.000
546;21.500;9.000;1.000
547;21.500;10.000;1.000
548;21.500;11.000;1.000
549;21.500;12.000;1.000
550;22.500;-12.000;1.000
551;22.500;-11.000;1.000
552;22.500;-10.000;1.000
553;22.500;-9.000;1.000
554;22.500;-8.000;1.000
555;22.500;-7.000;1.000
556;22.500;-6.000;1.000
557;22.500;-5.000;1.000
558;22.500;-4.000;1.000
559;22.500;-3.000;1.000
560;22.500;-2.000;1.000
561;22.500;-1.000;1.000
562;22.500;0.000;1.000
563;22.500;1.000;1.000
564;22.500;2.000;1.000
565;22.500;3.000;1.000
566;22.500;4.000;1.000
567;22.500;5.000;1.000
568;22.500;6.000;1.000
569;22.500;7.000;1.000
570;22.500;8.000;1.000
571;22.500;9.000;1.000
572;22.500;10.000;1.000
573;22.500;11.000;1.000
574;22.500;12.000;1.000
575;23.500;-12.000;1.000
576;23.500;-11.000;1.000
577;23.500;-10.000;1.000
578;23.500;-9.000;1.000
579;23.500;-8.000;1.000
580;23.500;-7.000;1.000
581;23.500;-6.000;1.000
582;23.500;-5.000;1.000
583;23.500;-4.000;1.000
584;23.500;-3.000;1.000
585;23.500;-2.000;1.000
586;23.500;-1.000;1.000
587;23.500;0.000;1.000
588;23.500;1.000;1.000
589;23.500;2.000;1.000
590;23.500;3.000;1.000
591;23.500;4.000;1.000
592;23.500;5.000;1.000
593;23.500;6.000;1.000
594;23.500;7.000;1.000
595;23.500;8.000;1.000
596;23.500;9.000;1.000
597;23.500;10.000;1.000
598;23.500;11.000;1.000
599;23.500;12.000;1.000
600;24.500;-12.000;1.000
601;24.500;-11.000;1.000
602;24.500;-10.000;1.000
603;24.500;-9.000;1.000
604;24.500;-8.000;1.000
605;24.500;-7.000;1.000
606;24.500;-6.000;1.000
607;24.500;-5.000;1.000
608;24.500;-4.000;1.000
609;24.500;-3.000;1.000
610;24.500;-2.000;1.000
611;24.500;-1.000;1.000
612;24.500;0.000;1.000
613;24.500;1.000;1.000
614;24.500;2.000;1.000
615;24.500;3.000;1.000
616;24.500;4.000;1.000
617;24.500;5.000;1.000
618;24.500;6.000;1.000
619;24.500;7.000;1.000
620;24.500;8.000;1.000
621;24.500;9.000;1.000
622;24.500;10.000;1.000
623;24.500;11.000;1.000
624;24.500;12.000;1.000
625;25.500;-12.000;1.000
626;25.500;-11.000;1.000
627;25.500;-10.000;1.000
628;25.500;-9.000;1.000
629;25.500;-8.000;1.000
630;25.500;-7.000;1.000
631;25.500;-6.000;1.000
632;25.500;-5.000;1.000
633;25.500;-4.000;1.000
634;25.500;-3.000;1.000
635;25.500;-2.000;1.000
636;25.500;-1.000;1.000
637;25.500;0.000;1.000
638;25.500;1.000;1.000
639;25.500;2.000;1.000
640;25.500;3.000;1.000
641;25.500;4.000;1.000
642;25.500;5.000;1.000
643;25.500;6.000;1.000
644;25.500;7.000;1.000
645;25.500;8.000;1.000
646;25.500;9.000;1.000
647;25.500;10.000;1.000
648;25.500;11.000;1.000
649;25.500;12.000;1.000
650;26.500;-12.000;1.000
651;26.500;-11.000;1.000
652;26.500;-10.000;1.000
653;26.500;-9.000;1.000
654;26.500;-8.000;1.000
